Timestamp
2018-09-04 00:00:00
2018-12-20 00:00:00
2019-01-02 00:00:00
2019-04-27 00:00:00
2019-05-06 00:00:00
2019-06-29 00:00:00
2019-07-02 00:00:00
2019-08-18 00:00:00
2019-09-03 00:00:00
2019-12-18 00:00:00
2020-01-06 00:00:00
2020-04-29 00:00:00
2020-05-11 00:00:00
2020-06-26 00:00:00
2020-07-06 00:00:00
2020-08-20 00:00:00
2020-09-08 00:00:00
2020-12-22 00:00:00
2021-01-11 00:00:00
2021-04-29 00:00:00
2021-05-10 00:00:00
2021-06-25 00:00:00
2021-07-05 00:00:00
2021-08-20 00:00:00
2021-09-07 00:00:00
2021-12-22 00:00:00
2022-01-10 00:00:00
2022-04-27 00:00:00
2022-05-16 00:00:00
2022-06-30 00:00:00
2022-07-04 00:00:00
2022-08-19 00:00:00
2022-09-06 00:00:00
2022-12-22 00:00:00
2023-01-09 00:00:00
2023-04-28 00:00:00
2023-05-15 00:00:00
2023-06-30 00:00:00
2023-07-04 00:00:00
2023-08-19 00:00:00
2023-09-05 00:00:00
2023-12-21 00:00:00
2024-01-08 00:00:00
2024-04-27 00:00:00
