"dt","weather_main","weather_desc","temp"
"1717225200","Clouds","overcast clouds",287.04
"1717221600","Clouds","overcast clouds",287.27
"1717218000","Clouds","broken clouds",287.57
"1717214400","Clouds","broken clouds",287.63
"1717210800","Clouds","overcast clouds",287.62
"1717207200","Clouds","broken clouds",288.45
"1717203600","Clouds","broken clouds",289.57
"1717200000","Clouds","broken clouds",289.89
"1717196400","Clouds","broken clouds",289.28
"1717192800","Clouds","broken clouds",288.81
"1717189200","Clouds","broken clouds",288.69
"1717185600","Clouds","broken clouds",287.71
"1717182000","Clouds","broken clouds",287.3
"1717178400","Clouds","broken clouds",286.29
"1717174800","Clouds","broken clouds",286.76
"1717171200","Clouds","broken clouds",285.82
"1717167600","Clouds","few clouds",284.54
"1717164000","Clouds","few clouds",283.35
"1717160400","Clouds","few clouds",280.62
"1717156800","Clouds","few clouds",280.46
"1717153200","Clouds","few clouds",280.76
"1717149600","Clouds","few clouds",281.39
"1717146000","Clouds","few clouds",281.95
"1717142400","Clouds","few clouds",282.6
"1717138800","Clouds","few clouds",283.19
